Product ID,Product Name,Product Category,Product Description,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,SKU,Product Tags,Color/Size Variations,Product Ratings
93TGNAY7,Laptop,Home Appliances,Product_XU5QX,253.17,3,2,16x15x15 cm,1/1/2023,1/1/2026,8NMFZ4,"VNU,NZ6",Green/Large,2
TYYZ5AV7,Smartphone,Clothing,Product_NRUMS,214.37,92,2,15x19x19 cm,3/15/2023,1/1/2025,7P5YCW,"ZJA,0D3",Red/Small,2
5C94FGTQ,Headphones,Clothing,Product_IT7HG,475.29,19,2,9x6x6 cm,3/15/2023,1/1/2026,YW5BME,"ZNG,MAP",Red/Small,1
XBHKYPQB,Monitor,Clothing,Product_8SBDO,403.33,40,1,7x13x5 cm,1/1/2023,1/1/2026,65MQC3,"RPP,M40",Green/Large,1
728GCZFU,Laptop,Home Appliances,Product_54FAF,229.81,32,2,20x20x19 cm,7/30/2023,1/1/2026,RLCBRW,"R8U,X46",Blue/Medium,4
27R9M103,Smartphone,Electronics,Product_Z5CGR,18.87,98,3,11x16x7 cm,1/1/2023,1/1/2024,UKNO5L,"KMQ,39Z",Green/Large,5
JDOVOMY2,Headphones,Home Appliances,Product_7IBNL,81.29,32,3,14x18x14 cm,1/1/2023,1/1/2026,L72TO4,"8JR,Z6A",Green/Large,2
0KHFMXFN,Monitor,Home Appliances,Product_GFUOS,21.35,48,2,11x6x11 cm,1/1/2023,1/1/2026,4C11JZ,"M0V,5ES",Blue/Medium,1
T4F2EW7G,Monitor,Home Appliances,Product_VSWHF,229.05,100,3,5x6x9 cm,1/1/2023,1/1/2025,8CE8EZ,"QVL,QKX",Green/Large,5
GL199BEL,Smartphone,Clothing,Product_HMH7Q,446.23,47,2,12x5x10 cm,1/1/2023,1/1/2026,UHYG3Y,"WNW,S2K",Green/Large,4
SX7HALUU,Monitor,Electronics,Product_SM05O,322.11,74,2,20x5x6 cm,7/30/2023,1/1/2024,45ODXB,"DLM,8UG",Green/Large,2
1AOXE5QW,Headphones,Clothing,Product_IXUWP,371.68,36,2,15x17x13 cm,3/15/2023,1/1/2024,WUKLQ8,"C2U,8GK",Green/Large,1
KOXR70B4,Smartphone,Home Appliances,Product_2SHT8,452.1,61,3,20x11x15 cm,3/15/2023,1/1/2025,9MGRX9,"9IS,VPP",Red/Small,4
X2D1GWO5,Monitor,Clothing,Product_5TYRK,27.31,40,3,11x9x16 cm,1/1/2023,1/1/2024,BGJTMN,"ZNB,Y61",Blue/Medium,4
ZKI2USNA,Laptop,Home Appliances,Product_56JPR,203.69,91,1,15x8x7 cm,1/1/2023,1/1/2025,LZWGTM,"PY8,YKO",Red/Small,2
EPKS7ECS,Smartphone,Clothing,Product_UPJGT,176.18,48,2,15x17x15 cm,7/30/2023,1/1/2024,ACTGNP,"CNR,0BZ",Blue/Medium,3
UB8UO1PA,Monitor,Electronics,Product_EFPA6,424.19,31,3,11x9x13 cm,1/1/2023,1/1/2026,M1RZV2,"8P4,A68",Blue/Medium,1
6ID782KK,Monitor,Clothing,Product_2N5R9,331.49,41,2,19x12x10 cm,7/30/2023,1/1/2026,A7U5V6,"CIP,2JO",Blue/Medium,5
YWJW03Z5,Headphones,Electronics,Product_QMM8Y,470.63,95,3,19x5x20 cm,3/15/2023,1/1/2025,5TJMJB,"0HK,49N",Red/Small,3
44WFTM8R,Smartphone,Home Appliances,Product_EMKXE,45.22,28,1,8x10x19 cm,7/30/2023,1/1/2025,7PIGAO,"KDZ,R63",Red/Small,2
CVYLYMJ3,Laptop,Clothing,Product_P8SC9,47.46,75,2,13x16x14 cm,3/15/2023,1/1/2025,218UVR,"DPX,Z01",Red/Small,1
9UQRU4ZU,Smartphone,Electronics,Product_2UN6K,103.02,51,3,13x9x5 cm,7/30/2023,1/1/2026,NC1SXI,"7OW,PLE",Green/Large,2
4RBD28EN,Headphones,Electronics,Product_GE3MG,189.22,19,3,6x6x7 cm,7/30/2023,1/1/2024,TL8IKI,"C19,3MV",Blue/Medium,3
XNTCQGCN,Laptop,Electronics,Product_QPH41,141.34,51,2,6x12x18 cm,7/30/2023,1/1/2024,MHPHI1,"XL4,92D",Green/Large,3
T27XMDD2,Smartphone,Clothing,Product_YLGLH,272.92,81,2,5x20x11 cm,1/1/2023,1/1/2026,UV0ZKV,"80L,HN3",Blue/Medium,3
OR97MBZ1,Smartphone,Home Appliances,Product_5GANS,464.04,100,3,11x10x7 cm,7/30/2023,1/1/2024,U90NV3,"PE6,DB3",Green/Large,3
HGFIOVL2,Monitor,Electronics,Product_01MSU,247.19,95,1,7x8x11 cm,3/15/2023,1/1/2024,V5XZAP,"2ZL,WXZ",Red/Small,3
758FMQ42,Laptop,Electronics,Product_HYZAV,330.94,84,2,19x5x16 cm,1/1/2023,1/1/2026,TRVV6N,"BY6,KRM",Blue/Medium,2
8XJVYL79,Monitor,Home Appliances,Product_PETDB,57.9,63,2,5x20x19 cm,3/15/2023,1/1/2024,RC5RTX,"4PD,TUV",Green/Large,5
YWS54ZGS,Smartphone,Clothing,Product_H0G19,312.98,70,3,16x19x19 cm,7/30/2023,1/1/2025,AIF32C,"E8Y,IOV",Green/Large,4
LI5AGJNV,Headphones,Clothing,Product_J7CSI,395.57,41,2,12x8x7 cm,7/30/2023,1/1/2025,PY4J88,"JES,S1X",Green/Large,2
YN96ICPB,Laptop,Electronics,Product_YLM13,465.68,100,3,12x13x16 cm,1/1/2023,1/1/2025,GWZT40,"9AF,9NB",Blue/Medium,4
W2KSX5TA,Smartphone,Electronics,Product_NESNU,384.96,73,3,12x20x19 cm,7/30/2023,1/1/2024,AAILGY,"RV5,IIT",Blue/Medium,1
GF0IT7WH,Monitor,Electronics,Product_7W9HQ,294.11,43,2,9x6x7 cm,7/30/2023,1/1/2024,DMZBLI,"EWB,IHL",Red/Small,5
01MM8M6E,Laptop,Clothing,Product_2PKWZ,149.96,94,3,17x19x14 cm,3/15/2023,1/1/2024,3VW3PG,"ELH,IWY",Green/Large,1
YTFM1TLG,Smartphone,Clothing,Product_XDVMX,286.13,12,1,18x15x8 cm,1/1/2023,1/1/2025,RDLJXU,"T38,0YK",Blue/Medium,1
XNJQXRM1,Laptop,Electronics,Product_0PX05,32.71,37,1,15x19x5 cm,1/1/2023,1/1/2026,V3UIA8,"PGW,63E",Green/Large,5
B961OWR5,Monitor,Electronics,Product_7GRFP,302.71,74,2,17x5x16 cm,7/30/2023,1/1/2024,02HK54,"ZWM,Z1G",Blue/Medium,2
R0VD36R0,Monitor,Electronics,Product_RDF6F,405.37,96,2,18x11x19 cm,1/1/2023,1/1/2025,7SR7CY,"DQ5,WK2",Blue/Medium,3
VLWYYV8I,Monitor,Home Appliances,Product_DWHEI,301.6,19,3,19x19x11 cm,1/1/2023,1/1/2026,3ZVH4S,"UHO,8H4",Red/Small,3
R34NP2U9,Smartphone,Home Appliances,Product_CAWFA,45.34,12,2,19x15x15 cm,7/30/2023,1/1/2026,BYIQMZ,"7HZ,ZM2",Blue/Medium,2
LFP5YYLI,Monitor,Clothing,Product_4CNSF,111.16,46,3,13x19x19 cm,7/30/2023,1/1/2025,Q3D5UR,"2OX,AK9",Blue/Medium,5
XYNAPOCA,Laptop,Electronics,Product_CBV7I,390.3,91,3,8x16x19 cm,7/30/2023,1/1/2024,VNT8NM,"WGF,D0Z",Red/Small,3
AN8PGC9A,Smartphone,Home Appliances,Product_12419,498.84,75,3,7x6x5 cm,1/1/2023,1/1/2025,YT7WWI,"WXC,D5M",Blue/Medium,3
EJOM3BJH,Laptop,Home Appliances,Product_LKYKQ,241.93,86,1,18x7x17 cm,3/15/2023,1/1/2024,OUA0TZ,"6BK,V4N",Green/Large,4
8BQDEI82,Monitor,Clothing,Product_8CL7T,101.45,87,2,11x7x16 cm,7/30/2023,1/1/2026,FEZFQD,"X0I,RXS",Blue/Medium,3
52HPB9QY,Smartphone,Home Appliances,Product_DLDAA,289.7,87,2,11x17x6 cm,1/1/2023,1/1/2025,6T1JOK,"TWV,S21",Blue/Medium,2
3VS5XCWL,Headphones,Clothing,Product_W1NV4,149.54,92,1,7x15x15 cm,1/1/2023,1/1/2025,3DQBKV,"AHC,6OD",Red/Small,3
IZN34WM6,Smartphone,Home Appliances,Product_DCD32,393.54,72,1,16x20x8 cm,1/1/2023,1/1/2025,B5IULX,"2YC,JP1",Green/Large,3
E6PDMLSD,Headphones,Electronics,Product_TQWN0,468.21,11,3,18x13x13 cm,3/15/2023,1/1/2024,919BPS,"S2C,GN7",Green/Large,2
CREV63V4,Laptop,Clothing,Product_ZY3G2,38.1,10,1,13x12x18 cm,1/1/2023,1/1/2024,5QHIMQ,"X81,0BL",Blue/Medium,2
HEB5CHW5,Laptop,Clothing,Product_JMCKE,179.54,86,3,12x7x14 cm,3/15/2023,1/1/2026,L4RG1R,"YWO,2AI",Green/Large,4
K4BN9L0D,Laptop,Home Appliances,Product_QZUR8,329.15,79,1,19x10x9 cm,1/1/2023,1/1/2024,VQWP1F,"DHR,P9F",Blue/Medium,3
2BBH5XLH,Monitor,Home Appliances,Product_XALNV,74.39,76,2,7x6x9 cm,3/15/2023,1/1/2025,5C0PIB,"3S1,G45",Red/Small,4
NZ99U0W6,Smartphone,Electronics,Product_7766T,174.84,44,3,19x7x11 cm,3/15/2023,1/1/2026,LIG2DW,"F86,D68",Red/Small,4
JHQ82GFX,Monitor,Clothing,Product_XM4P4,402.31,5,1,20x14x14 cm,7/30/2023,1/1/2026,OGLFIN,"WPK,LZ5",Blue/Medium,5
LA0QZ0CZ,Smartphone,Electronics,Product_AU25H,291.37,10,3,7x19x18 cm,1/1/2023,1/1/2025,MVRCWD,"C7T,GMQ",Blue/Medium,4
273RFMHT,Smartphone,Home Appliances,Product_6SLGO,233.38,99,1,5x6x14 cm,7/30/2023,1/1/2024,NKG9KW,"Z0F,2WK",Red/Small,3
WXWE8K8M,Smartphone,Electronics,Product_IPOFH,329.15,21,3,13x15x16 cm,7/30/2023,1/1/2026,8K2QGQ,"IW5,HTK",Blue/Medium,5
W74EI8WM,Smartphone,Clothing,Product_E14DG,265.5,56,2,13x13x12 cm,7/30/2023,1/1/2024,4INHR5,"NGA,XH9",Green/Large,3
E2QJSTCD,Headphones,Clothing,Product_XQAE0,373.91,51,1,13x15x5 cm,7/30/2023,1/1/2026,PTWM0B,"5S3,GIR",Blue/Medium,1
ERAFRESU,Smartphone,Home Appliances,Product_9G8JO,462.28,63,1,16x16x7 cm,3/15/2023,1/1/2025,UFXEUS,"T3J,6FY",Green/Large,4
AXJKGT1D,Smartphone,Clothing,Product_SSMWR,167.95,18,3,18x14x12 cm,1/1/2023,1/1/2025,MDGW89,"PV4,8DN",Green/Large,1
D6D6IIET,Laptop,Home Appliances,Product_0R6F6,229.38,39,3,17x20x17 cm,7/30/2023,1/1/2025,PDF7HC,"UJG,45D",Blue/Medium,2
30O9HAXH,Monitor,Clothing,Product_LU94V,298.48,97,2,18x20x13 cm,3/15/2023,1/1/2026,AFE2M3,"FKN,L5Y",Blue/Medium,1
9Y137KWW,Laptop,Home Appliances,Product_MSMHX,251.13,2,1,12x5x6 cm,3/15/2023,1/1/2024,UU8RM7,"6M3,HQJ",Red/Small,3
9QCU5LIT,Laptop,Home Appliances,Product_WOW4S,243.63,51,3,8x17x7 cm,1/1/2023,1/1/2024,AZ8SY1,"NSI,44N",Red/Small,3
D7A6L8TX,Headphones,Clothing,Product_KQ42E,442.91,8,2,19x8x20 cm,3/15/2023,1/1/2025,9C2P9J,"RYY,NQK",Blue/Medium,3
381AZNE9,Headphones,Home Appliances,Product_Y3ZMW,272.05,16,3,6x12x8 cm,7/30/2023,1/1/2025,SRWI8U,"FJU,J6N",Green/Large,3
5U6RM8NQ,Laptop,Clothing,Product_ZW2ZF,145.28,37,2,19x17x15 cm,7/30/2023,1/1/2026,4GJPTL,"1UX,RQ6",Red/Small,3
81G13OYQ,Monitor,Electronics,Product_3M7DV,303.83,44,1,19x13x11 cm,1/1/2023,1/1/2025,80K5PD,"783,PHI",Blue/Medium,2
Q6D8PU45,Headphones,Clothing,Product_65LX5,496.18,4,2,19x5x17 cm,1/1/2023,1/1/2024,ZP5322,"LHG,ACC",Green/Large,4
